Thumb,index,middle,ring,pinky,pitch,roll,label
15,94,100,96,16,-29.71,-47.53,Y
18,97,100,97,17,-28.4,-47.7,Y
17,96,100,98,17,-23.8,-45.44,Y
17,96,100,95,17,-14.08,-41.2,Y
19,96,100,94,18,-12.93,-42.25,Y
17,96,100,95,18,-13.31,-41.95,Y
14,100,100,82,16,-54.05,-43.6,Y
16,100,100,84,13,-54.49,-42.22,Y
9,100,100,89,9,-53.19,-41.17,Y
17,98,100,87,11,-52.29,-40.78,Y
13,97,100,87,12,-52.13,-41.2,Y
14,98,100,89,12,-50.71,-41.08,Y
15,98,100,89,13,-49.25,-40.93,Y
17,97,100,86,13,-46.19,-40.77,Y
5,97,100,84,15,-46.53,-40.22,Y
6,96,100,83,15,-46.01,-40.67,Y
4,97,99,83,14,-43.89,-40.65,Y
4,96,100,83,16,-43.06,-40.55,Y
6,97,100,85,15,-42.04,-40.34,Y
8,97,100,87,16,-40.44,-40.18,Y
7,97,100,89,15,-38.12,-40.31,Y
8,95,100,90,16,-36.49,-40.21,Y
7,96,100,90,18,-34.7,-39.93,Y
9,97,100,88,19,-31.75,-39.84,Y
7,96,100,87,19,-29.65,-40.1,Y
9,95,100,85,19,-29.76,-39.27,Y
6,92,100,84,19,-28.28,-38.8,Y
10,96,100,86,19,-27.15,-39.06,Y
6,95,100,87,19,-26.19,-39.41,Y
10,96,100,87,19,-26.83,-39.68,Y
10,98,100,88,19,-25.94,-39.97,Y
10,96,100,90,19,-24.51,-39.58,Y
9,96,100,92,19,-20.85,-39.03,Y
12,95,100,88,19,-17.39,-37.97,Y
12,95,100,88,19,-17.15,-37.88,Y
14,96,100,89,19,-16.28,-38.24,Y
13,96,100,89,19,-15.73,-38.19,Y
14,96,100,85,19,-15.66,-38.87,Y
18,97,100,87,19,-12.53,-36.86,Y
18,97,100,92,7,-16.33,-50.14,Y
14,96,100,89,6,-16.02,-49.94,Y
9,96,100,87,7,-15.84,-49.15,Y
9,98,100,86,7,-15.34,-48.54,Y
9,95,100,85,8,-13.02,-49.07,Y
11,96,100,85,8,-11.2,-48.52,Y
10,96,100,86,8,-10.39,-48.82,Y
11,95,100,87,9,-9.3,-48.02,Y
9,98,100,88,10,-9.67,-47.47,Y
10,96,100,89,10,-9.58,-47.68,Y
14,97,100,89,10,-9.03,-48.03,Y
12,96,100,91,10,-9.95,-48.2,Y
13,96,99,89,10,-10.43,-48,Y
11,96,100,89,11,-10.82,-47.17,Y
12,95,100,84,12,-10.79,-46.59,Y
13,94,100,85,11,-10.54,-47.1,Y
100,14,100,95,100,-79.21,-22.18,Z
100,13,96,78,95,-91.53,-66.26,Z
100,15,100,98,88,-32.72,3.24,Z
87,13,92,81,91,34.3,3.6,Z
100,8,94,82,97,13.19,-4.66,Z
